User_ID,Name,Age,Country,Subscription_Type,Watch_Time_Hours,Favorite_Genre,Last_Login,active
1,James Martinez,18,France,Premium,80.26,Drama,2024-05-12,1
2,John Miller,23,USA,Premium,321.75,Sci-Fi,2025-02-05,0
3,Emma Davis,60,UK,Basic,35.89,Comedy,2025-01-24,1
4,Emma Miller,44,USA,Premium,261.56,Documentary,2024-03-25,1
5,Jane Smith,68,USA,Standard,909.3,Drama,2025-01-14,1
6,David Johnson,21,USA,Standard,615.93,Romance,2025-02-03,1
7,John Hernandez,57,Canada,Standard,755.47,Romance,2025-01-05,1
8,Katie Hernandez,68,USA,Standard,145.23,Sci-Fi,2024-10-30,1
9,James Williams,39,UK,Basic,950.14,Action,2024-04-16,1
10,Alex Davis,55,Mexico,Standard,696.66,Horror,2024-07-03,1
11,Jane Miller,26,Japan,Standard,290.31,Action,2024-09-11,1
12,Jane Martinez,62,USA,Standard,490.39,Action,2024-06-12,0
13,Alex Martinez,65,Australia,Premium,712.23,Comedy,2024-08-08,1
14,Alex Smith,35,Germany,Premium,73.63,Sci-Fi,2024-10-02,1
15,Michael Jones,68,USA,Premium,359.3,Sci-Fi,2024-07-25,1
16,Chris Miller,39,Australia,Premium,768.19,Comedy,2024-10-11,1
17,Chris Davis,74,UK,Standard,610.7,Drama,2024-07-03,1
18,Emma Williams,59,Canada,Premium,813.46,Documentary,2024-08-08,1
19,Alex Johnson,63,Brazil,Premium,963.64,Action,2024-08-08,1
20,John Jones,67,Canada,Standard,460.6,Comedy,2024-12-07,1
21,Michael Williams,47,France,Standard,637.43,Horror,2025-01-21,1
22,James Martinez,46,UK,Premium,620.74,Comedy,2024-04-19,1
23,Sarah Davis,40,UK,Basic,451.59,Drama,2024-04-08,1
24,John Smith,46,UK,Basic,388.91,Horror,2024-10-16,1
25,Alex Brown,37,Canada,Basic,418.2,Horror,2024-05-26,1
26,Chris Johnson,26,Brazil,Premium,95.46,Sci-Fi,2024-08-23,1
27,James Jones,17,Mexico,Standard,253.6,Documentary,2024-09-29,1
28,Michael Johnson,37,France,Premium,936.05,Comedy,2025-01-07,1
29,Michael Johnson,59,Mexico,Basic,971.97,Drama,2024-11-03,1
30,Sarah Smith,67,Australia,Basic,542.57,Action,2025-02-11,1
31,Chris Jones,14,Germany,Premium,81.89,Drama,2024-08-06,1
32,John Williams,27,Canada,Standard,568.86,Sci-Fi,2025-02-01,1
33,Jane Brown,59,UK,Standard,67.28,Sci-Fi,2024-07-21,1
34,David Davis,56,Mexico,Basic,835.85,Documentary,2024-07-11,0
35,Emma Hernandez,52,India,Basic,91.07,Sci-Fi,2024-12-04,0
36,Michael Jones,26,UK,Basic,703.81,Comedy,2024-06-06,1
37,Sarah Williams,64,Germany,Basic,693.84,Documentary,2024-06-28,1
38,David Martinez,80,Brazil,Premium,431.61,Drama,2024-08-08,1
39,Emma Smith,70,USA,Standard,13.5,Comedy,2024-10-27,1
40,Sarah Hernandez,15,Brazil,Premium,914.7,Horror,2024-04-30,1
41,John Jones,23,Germany,Standard,404.84,Romance,2024-10-29,1
42,James Williams,40,Canada,Premium,610.93,Romance,2024-10-02,1
43,David Brown,35,Canada,Premium,834.96,Documentary,2024-06-08,1
44,Chris Garcia,68,Japan,Basic,145.66,Documentary,2024-04-12,1
45,Chris Jones,50,USA,Basic,370.08,Action,2024-03-30,1
46,John Johnson,45,India,Standard,474.83,Drama,2024-11-01,1
47,Sarah Smith,16,Brazil,Premium,321.21,Documentary,2024-04-13,1
48,Sarah Garcia,40,Australia,Basic,197.08,Comedy,2024-10-19,1
49,Michael Brown,57,Australia,Premium,420.58,Sci-Fi,2024-09-18,1
50,David Hernandez,72,Brazil,Basic,479.4,Action,2024-07-13,1
51,Sarah Jones,53,Germany,Standard,12.4,Horror,2025-02-09,0
52,Alex Jones,55,Japan,Basic,157.64,Action,2024-12-28,1
53,John Smith,65,Canada,Standard,589.28,Comedy,2025-02-21,0
54,Chris Martinez,27,France,Standard,367.56,Romance,2025-02-27,1
55,David Hernandez,72,USA,Premium,889.42,Horror,2024-12-11,1
56,Alex Davis,16,Mexico,Premium,739.71,Sci-Fi,2024-08-11,0
57,Jane Garcia,55,Japan,Basic,672.43,Documentary,2024-12-01,1
